Title,Author,ISBN,Availability
How to basic,kenny,67070503419,0
1984,George Orwell,9780452284234,1
Animal Farm,George Orwell,9780451526342,1
Anna Karenina,Leo Tolstoy,9780140449174,1
Attack on Titan,Hajime Isayama,9781632365684,1
Attack on Titan: Before the Fall,Ryo Suzukaze & Satoshi Shiki,9781975356449,1
Berserk,Kentaro Miura,9781593071993,1
Black Butler,Yana Toboso,9781421537748,1
Black Clover,Yūki Tabata,9781974710533,1
Bleach,Tite Kubo,9781421524442,1
Bleach: Thousand-Year Blood War,Tite Kubo,9781975354452,1
Blue Exorcist,Kazue Kato,9781421567896,1
Brave New World,Aldous Huxley,9780060850524,1
Catch-22,Joseph Heller,9781451626650,1
Chainsaw Man,Tatsuki Fujimoto,9781632366518,1
Chainsaw Man Vol. 2 supplemental,Tatsuki Fujimoto,9781632366525,1
City Hunter,Tsukasa Hojo,9784088723346,1
Crime and Punishment,Fyodor Dostoevsky,9780140449136,1
Crows,Hiroshi Takahashi,9784088720932,1
D.Gray-man,Kaori Yuki,9781421517696,1
Death Note,Tsugumi Ohba & Takeshi Obata,9781421501689,1
Demon Slayer: Hashira Training Arc,Koyoharu Gotōge,9781632366402,1
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotōge,9781974702161,1
Dr. Stone,Riichirō Inagaki & Boichi,9781974714968,1
Dragon Ball,Akira Toriyama,9781569312739,1
Fahrenheit 451,Ray Bradbury,9781451673319,1
Fairy Tail,Hiro Mashima,9781632362614,1
Fist of the North Star,Buronson & Tetsuo Hara,9781569314276,1
Fullmetal Alchemist,Hiromu Arakawa,9781591167121,1
Great Expectations,Charles Dickens,9780141439563,1
Haikyu!!,Haruichi Furudate,9781975334353,1
Hunter × Hunter,Yoshihiro Togashi,9781591168128,1
Jane Eyre,Charlotte Brontë,9780142437209,1
Jujutsu Kaisen,Gege Akutami,9781974713060,1
Kinnikuman,Yudetamago,9784088720581,1
Les Misérables,Victor Hugo,9780451419439,1
Lolita,Vladimir Nabokov,9780679723165,1
Minami no Teiō,Dai Tennōji & Rikiya Gō,9784091280810,1
Mob Psycho 100,ONE & Yūsuke Murata,9781421595751,1
Moby-Dick,Herman Melville,9780142437247,1
My Hero Academia,Kōhei Horikoshi,9781974701935,1
Naruto,Masashi Kishimoto,9781421500842,1
Naruto Shippūden,Masashi Kishimoto,9781421518365,1
One Hundred Years of Solitude,Gabriel García Márquez,9780060883287,1
One Piece,Eiichiro Oda,9781591160368,1
Pride and Prejudice,Jane Austen,9780141439518,1
Slam Dunk,Takehiko Inoue,9781591165219,1
Soul Eater,Atsushi Ōkubo,9781421501849,1
Spy × Family,Tatsuya Endō,9781975360279,1
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379,1
The Catcher in the Rye,J.D. Salinger,9780316769488,1
The Divine Comedy,Dante Alighieri,9780140448955,1
The Great Gatsby,F. Scott Fitzgerald,9780743273565,1
The Hobbit,J.R.R. Tolkien,9780547928227,1
The Kite Runner,Khaled Hosseini,9781594631931,1
The Lord of the Rings,J.R.R. Tolkien,9780544003415,1
The Odyssey,Homer,9780140268867,1
The Promised Neverland,Kaiu Shirai & Posuka Demizu,9781421597243,1
The Seven Deadly Sins,Nakaba Suzuki,9781974703151,1
To Kill a Mockingbird,Harper Lee,9780060935467,1
Tokyo Ghoul,Sui Ishida,9781421596482,1
Tokyo Revengers,Ken Wakui,9781632366457,1
Vagabond,Takehiko Inoue,9781591166308,1
Vinland Saga,Makoto Yukimura,9781632364492,1
War and Peace,Leo Tolstoy,9780199232765,1
Wuthering Heights,Emily Brontë,9780141439556,1
Your Lie in April,Naoshi Arakawa,9781421591272,1
Yu-Gi-Oh!,Kazuki Takahashi,9781569311848,1
